GeoPRR补充实验结果（均值 ± 标准差）,,,,,,,,
常规结果为六条件总体；按实验分区阅读，各区使用自身表头。,,,,,,,,
,,,,,,,,
E14 完整模型｜六条件总体,,,,,,,,
SyncG,去极坐标证据,GeoPRR完整模型,三模型等权集成,0.010002,"[0.008168, 0.011805]",0.016667,"[-0.016563, 0.054072]",
SyncG,去关系传输,GeoPRR完整模型,三模型等权集成,0.052581,"[0.047745, 0.057454]",-0.0375,"[-0.093657, 0.012463]",
SyncG,仅极坐标专家,GeoPRR完整模型,三模型等权集成,0.86461,"[0.822579, 0.908186]",-4.304167,"[-4.638366, -3.965087]",
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,三模型等权集成,0.011557,"[-0.013757, 0.038071]",0.258333,"[0.092382, 0.420924]",
SyncG,仅关系专家,GeoPRR完整模型,三模型等权集成,0.003407,"[0.000940, 0.005880]",0.033333,"[0.004170, 0.069497]",
SyncG,11标量MLP门控,GeoPRR完整模型,三模型等权集成,-0.002196,"[-0.003065, -0.001362]",0.008333,"[0.000000, 0.021081]",
SyncG,三专家等权混合,GeoPRR完整模型,三模型等权集成,0.224609,"[0.210812, 0.239167]",-0.720833,"[-0.878049, -0.569446]",
RF100-VL,仅几何/基础专家,GeoPRR完整模型,三seed平均,0.05572,"[0.001723, 0.123113]",-0.441501,"[-1.056015, 0.226774]",
RF100-VL,简单双视图回归,GeoPRR完整模型,三seed平均,0.073197,"[-0.329934, 0.323030]",-1.103753,"[-4.756847, 2.264968]",
RF100-VL,固定先验混合,GeoPRR完整模型,三seed平均,0.208202,"[0.086344, 0.354176]",-2.133922,"[-3.253291, -1.128021]",
RF100-VL,线性增益头,GeoPRR完整模型,三seed平均,0.010266,"[0.001170, 0.020211]",-0.110375,"[-0.271003, 0.000000]",
RF100-VL,仅极坐标专家,GeoPRR完整模型,三seed平均,1.425541,"[1.063926, 1.884369]",-10.890361,"[-13.710508, -7.856647]",
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,三seed平均,0.970757,"[-0.199658, 2.254702]",-8.719647,"[-17.474175, -1.209677]",
RF100-VL,仅关系专家,GeoPRR完整模型,三seed平均,0.007389,"[-0.006203, 0.021592]",-0.294334,"[-0.690335, 0.049603]",
RF100-VL,11标量MLP门控,GeoPRR完整模型,三seed平均,0.015409,"[0.004399, 0.027717]",-0.183959,"[-0.438617, 0.041771]",
RF100-VL,三专家等权混合,GeoPRR完整模型,三seed平均,0.297254,"[0.147195, 0.476045]",-2.980132,"[-4.279293, -1.767635]",
RF100-VL,仅几何/基础专家,GeoPRR完整模型,三模型等权集成,0.046963,"[-0.007594, 0.116978]",-1.103753,"[-1.876380, -0.541126]",
RF100-VL,简单双视图回归,GeoPRR完整模型,三模型等权集成,-0.063298,"[-0.486809, 0.171083]",-1.103753,"[-6.424858, 3.030303]",
RF100-VL,固定先验混合,GeoPRR完整模型,三模型等权集成,0.182794,"[0.051051, 0.343082]",-2.538631,"[-4.004329, -1.282051]",
RF100-VL,线性增益头,GeoPRR完整模型,三模型等权集成,0.005547,"[-0.000421, 0.012191]",-0.220751,"[-0.698111, 0.000000]",
RF100-VL,仅极坐标专家,GeoPRR完整模型,三模型等权集成,1.190562,"[0.760004, 1.700189]",-10.264901,"[-13.211557, -7.083265]",
RF100-VL,Raw B0（六条件增强）,GeoPRR完整模型,三模型等权集成,0.898923,"[-0.267796, 2.123359]",-9.492274,"[-18.935395, -1.143735]",
RF100-VL,仅关系专家,GeoPRR完整模型,三模型等权集成,-0.006743,"[-0.019413, 0.008315]",-0.220751,"[-0.698111, 0.000000]",
RF100-VL,11标量MLP门控,GeoPRR完整模型,三模型等权集成,0.011609,"[0.002974, 0.021060]",-0.220751,"[-0.698111, 0.000000]",
RF100-VL,三专家等权混合,GeoPRR完整模型,三模型等权集成,0.259122,"[0.090759, 0.459501]",-2.759382,"[-4.377140, -1.111111]",
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,三seed平均,-0.008198,"[-0.060879, 0.041541]",-0.095579,"[-0.728739, 0.482045]",
Industrial-1395,简单双视图回归,GeoPRR完整模型,三seed平均,-1.147198,"[-1.627013, -0.695467]",4.858622,"[2.495424, 7.279594]",
Industrial-1395,固定先验混合,GeoPRR完整模型,三seed平均,0.335404,"[0.159608, 0.500537]",-3.620072,"[-4.909474, -2.377321]",
Industrial-1395,线性增益头,GeoPRR完整模型,三seed平均,-0.003913,"[-0.012515, 0.005018]",0.111509,"[0.008335, 0.224253]",
Industrial-1395,仅极坐标专家,GeoPRR完整模型,三seed平均,2.114311,"[1.501011, 2.697601]",-11.079251,"[-13.518640, -8.605803]",
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,三seed平均,2.767947,"[0.442549, 5.073836]",-9.251294,"[-12.881478, -5.670664]",
Industrial-1395,仅关系专家,GeoPRR完整模型,三seed平均,-0.009171,"[-0.022849, 0.004649]",0.083632,"[-0.034162, 0.204192]",
Industrial-1395,11标量MLP门控,GeoPRR完整模型,三seed平均,0.014851,"[0.005576, 0.025194]",-0.083632,"[-0.189514, 0.023492]",
Industrial-1395,三专家等权混合,GeoPRR完整模型,三seed平均,0.491648,"[0.272912, 0.699758]",-4.707288,"[-6.135627, -3.319143]",
Industrial-1395,仅几何/基础专家,GeoPRR完整模型,三模型等权集成,0.017177,"[-0.030258, 0.061472]",-0.692951,"[-1.374454, -0.011815]",
Industrial-1395,简单双视图回归,GeoPRR完整模型,三模型等权集成,-1.296931,"[-1.769493, -0.853396]",6.272401,"[3.583040, 9.097474]",
Industrial-1395,固定先验混合,GeoPRR完整模型,三模型等权集成,0.407417,"[0.238037, 0.569415]",-4.623656,"[-6.162778, -3.200469]",
Industrial-1395,线性增益头,GeoPRR完整模型,三模型等权集成,-0.002108,"[-0.010829, 0.006831]",-0.011947,"[-0.197679, 0.166539]",
Industrial-1395,仅极坐标专家,GeoPRR完整模型,三模型等权集成,2.0855,"[1.455211, 2.692954]",-11.67264,"[-14.529668, -8.797302]",
Industrial-1395,Raw B0（六条件增强）,GeoPRR完整模型,三模型等权集成,2.613518,"[0.279709, 4.919468]",-9.091995,"[-12.954702, -5.266362]",
Industrial-1395,仅关系专家,GeoPRR完整模型,三模型等权集成,-0.015504,"[-0.028187, -0.002432]",0.011947,"[-0.111557, 0.140594]",
Industrial-1395,11标量MLP门控,GeoPRR完整模型,三模型等权集成,0.017274,"[0.007920, 0.027586]",-0.203106,"[-0.370067, -0.049640]",
Industrial-1395,三专家等权混合,GeoPRR完整模型,三模型等权集成,0.564181,"[0.346008, 0.773038]",-5.997611,"[-7.792057, -4.309073]",
,,,,,,,,
Figure3 透视差异｜SyncG,,,,,,,,
对照方法,参考方法,透视角度（°）,NMAE差值（%FS）,95%CI_NMAE差值（%FS）,Acc@2%差值（百分点）,95%CI_Acc@2%差值（百分点）,Acc@5%差值（百分点）,95%CI_Acc@5%差值（百分点）
去几何融合,GeoPRR完整模型,0,-0.001125 ± 0.000813,"[-0.001692, -0.000546]",-0.008333 ± 0.080364,"[-0.059969, 0.048733]",0.000000 ± 0.000000,"[0.000000, 0.000000]"
Raw B0（原检查点）,GeoPRR完整模型,0,0.025205 ± 0.006008,"[0.022709, 0.027678]",-0.066667 ± 0.158771,"[-0.187268, 0.056858]",0.033333 ± 0.057735,"[0.008194, 0.067579]"
去几何融合,GeoPRR完整模型,15,0.171318 ± 0.040937,"[0.158828, 0.184557]",-1.758333 ± 0.368556,"[-2.165357, -1.359136]",-0.183333 ± 0.076376,"[-0.314319, -0.059132]"
Raw B0（原检查点）,GeoPRR完整模型,15,0.327418 ± 0.036472,"[0.304907, 0.352448]",-4.716667 ± 0.755949,"[-5.281196, -4.166667]",-0.400000 ± 0.066144,"[-0.568605, -0.246245]"
去几何融合,GeoPRR完整模型,25,0.433668 ± 0.054875,"[0.414306, 0.453653]",-7.433333 ± 1.389769,"[-8.047725, -6.837809]",-0.533333 ± 0.094648,"[-0.729685, -0.347485]"
Raw B0（原检查点）,GeoPRR完整模型,25,0.705019 ± 0.041712,"[0.674081, 0.738449]",-15.258333 ± 2.223361,"[-16.072627, -14.460155]",-1.225000 ± 0.217945,"[-1.507008, -0.949174]"
去几何融合,GeoPRR完整模型,35,0.771435 ± 0.092415,"[0.736134, 0.808527]",-18.466667 ± 4.315476,"[-19.493440, -17.471757]",-1.491667 ± 0.242813,"[-1.838733, -1.169733]"
Raw B0（原检查点）,GeoPRR完整模型,35,1.301561 ± 0.076424,"[1.237491, 1.371074]",-31.166667 ± 4.544869,"[-32.304579, -30.024669]",-4.383333 ± 0.518612,"[-4.940467, -3.849740]"
去几何融合,GeoPRR完整模型,45,1.279343 ± 0.140710,"[1.220345, 1.340883]",-30.591667 ± 4.703478,"[-31.835678, -29.365649]",-5.158333 ± 0.652080,"[-5.730197, -4.599945]"
Raw B0（原检查点）,GeoPRR完整模型,45,2.332516 ± 0.183523,"[2.217653, 2.453456]",-46.083333 ± 4.819902,"[-47.445833, -44.701538]",-13.691667 ± 1.845490,"[-14.519394, -12.869198]"
去几何融合,GeoPRR完整模型,60,-0.009878 ± 0.017685,"[-0.014450, -0.005380]",-0.058333 ± 0.125831,"[-0.211884, 0.098645]",0.200000 ± 0.288314,"[0.049988, 0.354873]"
Raw B0（原检查点）,GeoPRR完整模型,60,0.023975 ± 0.065725,"[0.017548, 0.030411]",-0.150000 ± 0.152069,"[-0.341794, 0.042024]",0.075000 ± 0.712829,"[-0.122730, 0.270664]"
